AssetManufacturerKey,ManufacturerCode,CountryKey,RecordStatusKey,ManufacturerName,ManufacturerDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,AM000001,88,1,Ion AssetManufacturer 1,AssetManufacturer starter record 1,Casey Evans,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,AM000002,178,1,Beacon AssetManufacturer 2,AssetManufacturer starter record 2,Quinn Reed,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,AM000003,186,3,Cedar AssetManufacturer 3,AssetManufacturer starter record 3,Harper Chen,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,AM000004,196,3,Beacon AssetManufacturer 4,AssetManufacturer starter record 4,Jordan Khan,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,AM000005,199,2,Quartz AssetManufacturer 5,AssetManufacturer starter record 5,Quinn Singh,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,AM000006,224,3,Titan AssetManufacturer 6,AssetManufacturer starter record 6,Harper Hughes,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,AM000007,81,3,Willow AssetManufacturer 7,AssetManufacturer starter record 7,Taylor Patel,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,AM000008,17,2,Quartz AssetManufacturer 8,AssetManufacturer starter record 8,Finley Chen,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,AM000009,127,3,Pioneer AssetManufacturer 9,AssetManufacturer starter record 9,Harper Reed,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,AM000010,208,3,Northstar AssetManufacturer 10,AssetManufacturer starter record 10,Quinn Hughes,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,AM000011,120,1,Meridian AssetManufacturer 11,AssetManufacturer starter record 11,Blair Chen,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,AM000012,85,3,Vertex AssetManufacturer 12,AssetManufacturer starter record 12,Finley Adams,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,AM000013,102,2,Keystone AssetManufacturer 13,AssetManufacturer starter record 13,Riley Singh,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,AM000014,186,3,Zenith AssetManufacturer 14,AssetManufacturer starter record 14,Harper Singh,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,AM000015,30,3,Titan AssetManufacturer 15,AssetManufacturer starter record 15,Emerson Chen,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,AM000016,245,2,Zenith AssetManufacturer 16,AssetManufacturer starter record 16,Casey Singh,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,AM000017,11,2,Junction AssetManufacturer 17,AssetManufacturer starter record 17,Emerson Evans,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,AM000018,158,1,Quartz AssetManufacturer 18,AssetManufacturer starter record 18,Taylor Chen,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,AM000019,180,3,Junction AssetManufacturer 19,AssetManufacturer starter record 19,Finley Adams,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,AM000020,190,4,Ion AssetManufacturer 20,AssetManufacturer starter record 20,Devon Hughes,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,AM000021,110,1,Delta AssetManufacturer 21,AssetManufacturer starter record 21,Jordan Reed,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,AM000022,37,3,Vertex AssetManufacturer 22,AssetManufacturer starter record 22,Finley Garcia,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,AM000023,48,1,Granite AssetManufacturer 23,AssetManufacturer starter record 23,Devon Hughes,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,AM000024,133,1,Evergreen AssetManufacturer 24,AssetManufacturer starter record 24,Alex Martin,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,AM000025,132,2,Meridian AssetManufacturer 25,AssetManufacturer starter record 25,Harper Diaz,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,AM000026,76,1,Riverton AssetManufacturer 26,AssetManufacturer starter record 26,Jordan Hughes,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,AM000027,57,4,Riverton AssetManufacturer 27,AssetManufacturer starter record 27,Harper Hughes,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
28,AM000028,105,1,Meridian AssetManufacturer 28,AssetManufacturer starter record 28,Casey Martin,2020-01-29,2021-01-28,1,1,1,2026-08-24T00:00:00.000
29,AM000029,244,2,Atlas AssetManufacturer 29,AssetManufacturer starter record 29,Emerson Reed,2020-01-30,2021-01-29,1,1,1,2026-08-24T00:00:00.000
30,AM000030,109,4,Harbor AssetManufacturer 30,AssetManufacturer starter record 30,Casey Hughes,2020-01-31,2021-01-30,0,1,1,2026-08-24T00:00:00.000
31,AM000031,187,1,Riverton AssetManufacturer 31,AssetManufacturer starter record 31,Devon Patel,2020-02-01,2021-01-31,1,1,1,2026-08-24T00:00:00.000
32,AM000032,136,2,Forge AssetManufacturer 32,AssetManufacturer starter record 32,Quinn Patel,2020-02-02,2021-02-01,1,1,1,2026-08-24T00:00:00.000
33,AM000033,106,2,Titan AssetManufacturer 33,AssetManufacturer starter record 33,Jordan Diaz,2020-02-03,2021-02-02,1,1,1,2026-08-24T00:00:00.000
34,AM000034,102,2,Summit AssetManufacturer 34,AssetManufacturer starter record 34,Devon Diaz,2020-02-04,2021-02-03,1,1,1,2026-08-24T00:00:00.000
35,AM000035,175,3,Zenith AssetManufacturer 35,AssetManufacturer starter record 35,Blair Patel,2020-02-05,2021-02-04,0,1,1,2026-08-24T00:00:00.000
36,AM000036,185,4,Harbor AssetManufacturer 36,AssetManufacturer starter record 36,Casey Evans,2020-02-06,2021-02-05,1,1,1,2026-08-24T00:00:00.000
37,AM000037,98,4,Liberty AssetManufacturer 37,AssetManufacturer starter record 37,Quinn Adams,2020-02-07,2021-02-06,1,1,1,2026-08-24T00:00:00.000
38,AM000038,211,1,Unity AssetManufacturer 38,AssetManufacturer starter record 38,Alex Garcia,2020-02-08,2021-02-07,1,1,1,2026-08-24T00:00:00.000
