BrandOwnerKey,BrandOwnerCode,CountryKey,RecordStatusKey,BrandOwnerName,BrandOwnerDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,BO000001,91,4,Blair Reed,Riley Reed,Devon Bennett,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,BO000002,195,3,Emerson Diaz,Finley Chen,Casey Hughes,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,BO000003,181,4,Emerson Garcia,Morgan Martin,Emerson Chen,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,BO000004,17,3,Finley Khan,Taylor Chen,Taylor Singh,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,BO000005,73,3,Alex Garcia,Alex Garcia,Jordan Garcia,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,BO000006,135,4,Jordan Reed,Quinn Garcia,Devon Singh,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,BO000007,54,4,Morgan Bennett,Emerson Adams,Morgan Diaz,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,BO000008,102,3,Riley Singh,Alex Diaz,Taylor Diaz,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,BO000009,74,4,Harper Garcia,Alex Khan,Alex Diaz,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,BO000010,67,2,Taylor Hughes,Blair Hughes,Devon Evans,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,BO000011,27,4,Alex Garcia,Riley Patel,Quinn Martin,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,BO000012,123,1,Harper Hughes,Taylor Singh,Taylor Evans,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,BO000013,234,2,Taylor Evans,Emerson Garcia,Riley Reed,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
