InventoryConsignmentOwnerKey,ConsignmentOwnerCode,SupplierKey,CustomerKey,ConsignmentOwnerName,OwnershipStartDate,RequiresSegregation,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,Unknown,1900-01-01,0,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,ICO000001,373,275,Casey Reed,2020-01-02,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cfa4b7dcf31b5a4fbb235d257cf437e3cfa4b7dcf31b5a4fbb235d257cf437e3
2,ICO000002,480,327,Alex Garcia,2020-01-03,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5d59947fd2e75187935a260ff1105c245d59947fd2e75187935a260ff1105c24
3,ICO000003,211,297,Alex Hughes,2020-01-04,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,c8f75d881d845862abc7d51c29614b34c8f75d881d845862abc7d51c29614b34
4,ICO000004,339,472,Blair Chen,2020-01-05,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,b0b7d8369efc53feb4e0ec75a8a2b259b0b7d8369efc53feb4e0ec75a8a2b259
5,ICO000005,83,461,Harper Garcia,2020-01-06,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4e845577ab645a7ca079cfdd7376f08c4e845577ab645a7ca079cfdd7376f08c
6,ICO000006,201,184,Devon Martin,2020-01-07,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5fb26e6b83c55c098adff4ca900d835c5fb26e6b83c55c098adff4ca900d835c
7,ICO000007,491,483,Finley Evans,2020-01-08,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,eeb3eb4589cc5301a5293e9a2fe8fbe6eeb3eb4589cc5301a5293e9a2fe8fbe6
8,ICO000008,44,138,Casey Adams,2020-01-09,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,9d294137f4895983a6d96a7a5e6297db9d294137f4895983a6d96a7a5e6297db
9,ICO000009,175,167,Casey Khan,2020-01-10,1,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,4c69486b6328560687ecccd22f8052ce4c69486b6328560687ecccd22f8052ce
10,ICO000010,328,384,Quinn Khan,2020-01-11,0,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,e3e285572b5a5312af0589b3bc1f756de3e285572b5a5312af0589b3bc1f756d
