ProductCertificationKey,CertificationCode,ComplianceStandardKey,RecordStatusKey,CertificationName,CertificationDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,-1,Unknown,N/A,Unknown,1900-01-01,1900-01-01,0,-1,0,1900-01-01T00:00:00.000
1,PC000001,2,1,Vertex ProductCertification 1,ProductCertification starter record 1,Riley Garcia,2020-01-02,2021-01-01,1,1,1,2026-08-24T00:00:00.000
2,PC000002,25,1,Cedar ProductCertification 2,ProductCertification starter record 2,Alex Martin,2020-01-03,2021-01-02,1,1,1,2026-08-24T00:00:00.000
3,PC000003,22,2,Riverton ProductCertification 3,ProductCertification starter record 3,Casey Singh,2020-01-04,2021-01-03,1,1,1,2026-08-24T00:00:00.000
4,PC000004,9,1,Delta ProductCertification 4,ProductCertification starter record 4,Alex Evans,2020-01-05,2021-01-04,1,1,1,2026-08-24T00:00:00.000
5,PC000005,6,2,Beacon ProductCertification 5,ProductCertification starter record 5,Quinn Bennett,2020-01-06,2021-01-05,0,1,1,2026-08-24T00:00:00.000
6,PC000006,25,4,Summit ProductCertification 6,ProductCertification starter record 6,Quinn Chen,2020-01-07,2021-01-06,1,1,1,2026-08-24T00:00:00.000
7,PC000007,22,4,Forge ProductCertification 7,ProductCertification starter record 7,Riley Adams,2020-01-08,2021-01-07,1,1,1,2026-08-24T00:00:00.000
8,PC000008,25,2,Orion ProductCertification 8,ProductCertification starter record 8,Blair Singh,2020-01-09,2021-01-08,1,1,1,2026-08-24T00:00:00.000
9,PC000009,9,2,Delta ProductCertification 9,ProductCertification starter record 9,Emerson Garcia,2020-01-10,2021-01-09,1,1,1,2026-08-24T00:00:00.000
10,PC000010,16,1,Granite ProductCertification 10,ProductCertification starter record 10,Jordan Khan,2020-01-11,2021-01-10,0,1,1,2026-08-24T00:00:00.000
11,PC000011,25,1,Summit ProductCertification 11,ProductCertification starter record 11,Emerson Singh,2020-01-12,2021-01-11,1,1,1,2026-08-24T00:00:00.000
12,PC000012,23,1,Beacon ProductCertification 12,ProductCertification starter record 12,Riley Khan,2020-01-13,2021-01-12,1,1,1,2026-08-24T00:00:00.000
13,PC000013,25,3,Summit ProductCertification 13,ProductCertification starter record 13,Casey Chen,2020-01-14,2021-01-13,1,1,1,2026-08-24T00:00:00.000
14,PC000014,4,1,Junction ProductCertification 14,ProductCertification starter record 14,Taylor Reed,2020-01-15,2021-01-14,1,1,1,2026-08-24T00:00:00.000
15,PC000015,1,3,Riverton ProductCertification 15,ProductCertification starter record 15,Alex Evans,2020-01-16,2021-01-15,0,1,1,2026-08-24T00:00:00.000
16,PC000016,15,3,Pioneer ProductCertification 16,ProductCertification starter record 16,Emerson Khan,2020-01-17,2021-01-16,1,1,1,2026-08-24T00:00:00.000
17,PC000017,1,2,Keystone ProductCertification 17,ProductCertification starter record 17,Taylor Hughes,2020-01-18,2021-01-17,1,1,1,2026-08-24T00:00:00.000
18,PC000018,14,1,Ion ProductCertification 18,ProductCertification starter record 18,Harper Evans,2020-01-19,2021-01-18,1,1,1,2026-08-24T00:00:00.000
19,PC000019,7,3,Granite ProductCertification 19,ProductCertification starter record 19,Alex Chen,2020-01-20,2021-01-19,1,1,1,2026-08-24T00:00:00.000
20,PC000020,23,1,Harbor ProductCertification 20,ProductCertification starter record 20,Quinn Reed,2020-01-21,2021-01-20,0,1,1,2026-08-24T00:00:00.000
21,PC000021,16,1,Titan ProductCertification 21,ProductCertification starter record 21,Emerson Evans,2020-01-22,2021-01-21,1,1,1,2026-08-24T00:00:00.000
22,PC000022,8,3,Northstar ProductCertification 22,ProductCertification starter record 22,Finley Bennett,2020-01-23,2021-01-22,1,1,1,2026-08-24T00:00:00.000
23,PC000023,24,1,Forge ProductCertification 23,ProductCertification starter record 23,Quinn Diaz,2020-01-24,2021-01-23,1,1,1,2026-08-24T00:00:00.000
24,PC000024,12,4,Meridian ProductCertification 24,ProductCertification starter record 24,Riley Evans,2020-01-25,2021-01-24,1,1,1,2026-08-24T00:00:00.000
25,PC000025,20,2,Junction ProductCertification 25,ProductCertification starter record 25,Devon Chen,2020-01-26,2021-01-25,0,1,1,2026-08-24T00:00:00.000
26,PC000026,22,4,Zenith ProductCertification 26,ProductCertification starter record 26,Quinn Patel,2020-01-27,2021-01-26,1,1,1,2026-08-24T00:00:00.000
27,PC000027,12,1,Quartz ProductCertification 27,ProductCertification starter record 27,Casey Bennett,2020-01-28,2021-01-27,1,1,1,2026-08-24T00:00:00.000
